;com;prot
1;Sinigrin;6LU7:A
0;Sinigrin;6M0J:A
0;Sinigrin;6LZG:A
0;Sinigrin;6VSB:A
0;Sinigrin;6VXX:A
1;Caffeoylbeta;YP_009725307.1
1;Caffeoylbeta;K4LC41_9BETC
1;Caffeoylbeta;PLpro_SARS-CoV-2
1;Caffeoylbeta;6LU7:A
0;Caffeoylbeta;6M0J:A
0;Caffeoylbeta;6LZG:A
0;Caffeoylbeta;6VSB:A
0;Caffeoylbeta;6VXX:A
1;Azadirachtin;YP_009725307.1
1;Azadirachtin;K4LC41_9BETC
1;Azadirachtin;PLpro_SARS-CoV-2
1;Azadirachtin;6LU7:A
0;Azadirachtin;6M0J:A
0;Azadirachtin;6LZG:A
0;Azadirachtin;6VSB:A
0;Azadirachtin;6VXX:A
1;Hesperidine;YP_009725307.1
0;Hesperidine;K4LC41_9BETC
1;Hesperidine;PLpro_SARS-CoV-2
1;Hesperidine;6LU7:A
0;Hesperidine;6M0J:A
0;Hesperidine;6LZG:A
0;Hesperidine;6VSB:A
0;Hesperidine;6VXX:A
1;Myricetin-3;YP_009725307.1
0;Myricetin-3;K4LC41_9BETC
1;Myricetin-3;PLpro_SARS-CoV-2
1;Myricetin-3;6LU7:A
0;Myricetin-3;6M0J:A
0;Myricetin-3;6LZG:A
0;Myricetin-3;6VSB:A
0;Myricetin-3;6VXX:A
1;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
1;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
0;(+)-2;3-Dihydro-9-hydroxy
1;Cyanidin-3;YP_009725307.1
0;Cyanidin-3;K4LC41_9BETC
0;Cyanidin-3;PLpro_SARS-CoV-2
1;Cyanidin-3;6LU7:A
0;Cyanidin-3;6M0J:A
0;Cyanidin-3;6LZG:A
0;Cyanidin-3;6VSB:A
0;Cyanidin-3;6VXX:A
1;Catalpol;YP_009725307.1
1;Catalpol;K4LC41_9BETC
1;Catalpol;PLpro_SARS-CoV-2
1;Catalpol;6LU7:A
0;Catalpol;6M0J:A
0;Catalpol;6LZG:A
0;Catalpol;6VSB:A
0;Catalpol;6VXX:A
1;Beta-glucogallin;YP_009725307.1
1;Beta-glucogallin;K4LC41_9BETC
1;Beta-glucogallin;PLpro_SARS-CoV-2
1;Beta-glucogallin;6LU7:A
0;Beta-glucogallin;6M0J:A
0;Beta-glucogallin;6LZG:A
0;Beta-glucogallin;6VSB:A
0;Beta-glucogallin;6VXX:A
1;Scandoside;YP_009725307.1
1;Scandoside;K4LC41_9BETC
1;Scandoside;PLpro_SARS-CoV-2
1;Scandoside;6LU7:A
0;Scandoside;6M0J:A
0;Scandoside;6LZG:A
0;Scandoside;6VSB:A
0;Scandoside;6VXX:A
1;Scutellarein;YP_009725307.1
0;Scutellarein;K4LC41_9BETC
1;Scutellarein;PLpro_SARS-CoV-2
1;Scutellarein;6LU7:A
0;Scutellarein;6M0J:A
0;Scutellarein;6LZG:A
0;Scutellarein;6VSB:A
0;Scutellarein;6VXX:A
1;Casuarinin;YP_009725307.1
1;Casuarinin;K4LC41_9BETC
1;Casuarinin;PLpro_SARS-CoV-2
1;Casuarinin;6LU7:A
0;Casuarinin;6M0J:A
0;Casuarinin;6LZG:A
0;Casuarinin;6VSB:A
0;Casuarinin;6VXX:A
1;Morindone;YP_009725307.1
0;Morindone;K4LC41_9BETC
1;Morindone;PLpro_SARS-CoV-2
1;Morindone;6LU7:A
0;Morindone;6M0J:A
0;Morindone;6LZG:A
0;Morindone;6VSB:A
0;Morindone;6VXX:A
1;Alizarin;YP_009725307.1
0;Alizarin;K4LC41_9BETC
1;Alizarin;PLpro_SARS-CoV-2
1;Alizarin;6LU7:A
0;Alizarin;6M0J:A
0;Alizarin;6LZG:A
0;Alizarin;6VSB:A
0;Alizarin;6VXX:A
1;Spiraeoside;YP_009725307.1
0;Spiraeoside;K4LC41_9BETC
1;Spiraeoside;PLpro_SARS-CoV-2
1;Spiraeoside;6LU7:A
0;Spiraeoside;6M0J:A
0;Spiraeoside;6LZG:A
0;Spiraeoside;6VSB:A
0;Spiraeoside;6VXX:A
1;Glucobrassicin;YP_009725307.1
0;Glucobrassicin;K4LC41_9BETC
1;Glucobrassicin;PLpro_SARS-CoV-2
1;Glucobrassicin;6LU7:A
0;Glucobrassicin;6M0J:A
0;Glucobrassicin;6LZG:A
0;Glucobrassicin;6VSB:A
0;Glucobrassicin;6VXX:A
1;Geniposide;YP_009725307.1
1;Geniposide;K4LC41_9BETC
1;Geniposide;PLpro_SARS-CoV-2
1;Geniposide;6LU7:A
0;Geniposide;6M0J:A
0;Geniposide;6LZG:A
0;Geniposide;6VSB:A
0;Geniposide;6VXX:A
1;Oleoside;YP_009725307.1
1;Oleoside;K4LC41_9BETC
1;Oleoside;PLpro_SARS-CoV-2
1;Oleoside;6LU7:A
0;Oleoside;6M0J:A
0;Oleoside;6LZG:A
0;Oleoside;6VSB:A
0;Oleoside;6VXX:A
1;Majoroside;YP_009725307.1
1;Majoroside;K4LC41_9BETC
1;Majoroside;PLpro_SARS-CoV-2
1;Majoroside;6LU7:A
0;Majoroside;6M0J:A
0;Majoroside;6LZG:A
0;Majoroside;6VSB:A
0;Majoroside;6VXX:A
1;Loganic;YP_009725307.1
1;Loganic;K4LC41_9BETC
1;Loganic;PLpro_SARS-CoV-2
1;Loganic;6LU7:A
0;Loganic;6M0J:A
0;Loganic;6LZG:A
0;Loganic;6VSB:A
0;Loganic;6VXX:A
1;Glucoputran;YP_009725307.1
1;Glucoputran;K4LC41_9BETC
1;Glucoputran;PLpro_SARS-CoV-2
1;Glucoputran;6LU7:A
0;Glucoputran;6M0J:A
0;Glucoputran;6LZG:A
0;Glucoputran;6VSB:A
0;Glucoputran;6VXX:A
1;Isoforskolin;YP_009725307.1
1;Isoforskolin;K4LC41_9BETC
1;Isoforskolin;PLpro_SARS-CoV-2
1;Isoforskolin;6LU7:A
0;Isoforskolin;6M0J:A
0;Isoforskolin;6LZG:A
0;Isoforskolin;6VSB:A
0;Isoforskolin;6VXX:A
1;Kaempferol-3;YP_009725307.1
0;Kaempferol-3;K4LC41_9BETC
1;Kaempferol-3;PLpro_SARS-CoV-2
1;Kaempferol-3;6LU7:A
0;Kaempferol-3;6M0J:A
0;Kaempferol-3;6LZG:A
0;Kaempferol-3;6VSB:A
0;Kaempferol-3;6VXX:A
